[2026-08-18T03:46:36.996Z] runtime_session_start | session_id=20260818T034636.972775Z-pid3450218-s1 | stage=5 operation=patch_and_connectivity_construction mode=resume log_file=Data/Applications/madagascar/qe_500/Logs/stage5.log taxa=both clump_backend=fasterRaster threshold=500
[2026-08-18T03:46:52.537Z] stage5_setup_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | status=processing final_validation_seconds=0.015000 backend_setup_seconds=0.533000 manifest_seconds=0.149000 checkpoint_initialize_seconds=0.015000 raster_context_seconds=14.660000 total_seconds=15.373000
[2026-08-18T03:47:06.466Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Microcebus myoxinus" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=13.080000 clump_seconds=2.535256 polygon_seconds=0.985105 distance_seconds=0.267123 other_scientific_seconds=9.292517 checkpoint_seconds=0.497000 cleanup_gc_seconds=0.326000 orchestration_seconds=0.000000 total_seconds=13.903000
[2026-08-18T03:47:17.964Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Monticolomys koopmani" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=10.916000 clump_seconds=1.783876 polygon_seconds=0.952123 distance_seconds=0.011713 other_scientific_seconds=8.168288 checkpoint_seconds=0.265000 cleanup_gc_seconds=0.307000 orchestration_seconds=0.000000 total_seconds=11.488000
[2026-08-18T03:48:20.769Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Brachyuromys betsileoensis" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=60.381000 clump_seconds=1.903059 polygon_seconds=1.526247 distance_seconds=1.317462 other_scientific_seconds=55.634233 checkpoint_seconds=0.403000 cleanup_gc_seconds=2.019000 orchestration_seconds=0.000000 total_seconds=62.803000
[2026-08-18T03:48:31.620Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Brachyuromys ramirohitra" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=10.218000 clump_seconds=1.526597 polygon_seconds=0.939270 distance_seconds=0.009507 other_scientific_seconds=7.742626 checkpoint_seconds=0.238000 cleanup_gc_seconds=0.392000 orchestration_seconds=0.000000 total_seconds=10.848000
[2026-08-18T03:49:34.680Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Macrotarsomys bastardi" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=60.375000 clump_seconds=2.282379 polygon_seconds=1.060261 distance_seconds=0.903056 other_scientific_seconds=56.129304 checkpoint_seconds=0.758000 cleanup_gc_seconds=1.924000 orchestration_seconds=0.001000 total_seconds=63.058000
[2026-08-18T03:49:46.197Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Brachytarsomys albicauda" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=10.859000 clump_seconds=1.789747 polygon_seconds=0.954800 distance_seconds=0.127754 other_scientific_seconds=7.986700 checkpoint_seconds=0.257000 cleanup_gc_seconds=0.398000 orchestration_seconds=0.000000 total_seconds=11.514000
[2026-08-18T03:50:01.141Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Gymnuromys roberti" taxon=mammalia sdm=PPM status=retained scientific_seconds=14.077000 clump_seconds=1.848119 polygon_seconds=1.174119 distance_seconds=1.722850 other_scientific_seconds=9.331911 checkpoint_seconds=0.386000 cleanup_gc_seconds=0.477000 orchestration_seconds=0.001000 total_seconds=14.941000
[2026-08-18T03:50:13.364Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Nesomys audeberti" taxon=mammalia sdm=RangeBag status=retained scientific_seconds=11.486000 clump_seconds=1.798279 polygon_seconds=1.024813 distance_seconds=0.695228 other_scientific_seconds=7.967680 checkpoint_seconds=0.307000 cleanup_gc_seconds=0.427000 orchestration_seconds=0.000000 total_seconds=12.220000
[2026-08-18T03:50:36.864Z] stage5_species_timing | session_id=20260818T034636.972775Z-pid3450218-s1 | species="Nesomys rufus" taxon=mammalia sdm=PPM status=retained scientific_seconds=22.648000 clump_seconds=1.967784 polygon_seconds=1.649022 distance_seconds=4.621924 other_scientific_seconds=14.409269 checkpoint_seconds=0.510000 cleanup_gc_seconds=0.340000 orchestration_seconds=0.000000 total_seconds=23.498000
