[2026-08-18T06:36:07.491Z] runtime_session_start | session_id=20260818T063607.487240Z-pid3450218-s2 | stage=6 operation=priority_initialization mode=initialize log_file=Data/Applications/madagascar/qe_500/Logs/stage6_initialization.log scenario=Data/Applications/madagascar/qe_500 taxa=mammals_birds sdm=ppm_rangebag
[2026-08-18T06:38:50.163Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=1/188 species="Accipiter henstii" occupied_cells=836071 patches=348 elapsed_seconds=2.24
[2026-08-18T06:38:50.909Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=2/188 species="Accipiter madagascariensis" occupied_cells=1118981 patches=781 elapsed_seconds=0.74
[2026-08-18T06:38:52.388Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=3/188 species="Acrocephalus newtoni" occupied_cells=1324096 patches=22801 elapsed_seconds=1.48
[2026-08-18T06:38:53.480Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=4/188 species="Alectroenas madagascariensis" occupied_cells=739912 patches=5852 elapsed_seconds=1.09
[2026-08-18T06:38:54.518Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=5/188 species="Allocebus trichotis" occupied_cells=801 patches=10 elapsed_seconds=1.04
[2026-08-18T06:38:55.134Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=6/188 species="Anas bernieri" occupied_cells=1767 patches=10 elapsed_seconds=0.62
[2026-08-18T06:38:56.329Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=7/188 species="Apus balstoni" occupied_cells=1070554 patches=7200 elapsed_seconds=1.19
[2026-08-18T06:38:57.136Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=8/188 species="Artamella viridis" occupied_cells=1186166 patches=14955 elapsed_seconds=0.81
[2026-08-18T06:38:58.407Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=9/188 species="Asio madagascariensis" occupied_cells=738771 patches=1172 elapsed_seconds=1.27
[2026-08-18T06:38:59.720Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=10/188 species="Atelornis crossleyi" occupied_cells=128759 patches=196 elapsed_seconds=1.31
[2026-08-18T06:39:00.576Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=11/188 species="Atelornis pittoides" occupied_cells=463883 patches=958 elapsed_seconds=0.85
[2026-08-18T06:39:01.449Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=12/188 species="Athene superciliaris" occupied_cells=841192 patches=2831 elapsed_seconds=0.87
[2026-08-18T06:39:02.579Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=13/188 species="Avahi laniger" occupied_cells=425054 patches=5554 elapsed_seconds=1.13
[2026-08-18T06:39:03.635Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=14/188 species="Avahi occidentalis" occupied_cells=6911 patches=67 elapsed_seconds=1.05
[2026-08-18T06:39:04.947Z] priority_initialization_raster_loaded | session_id=20260818T063607.487240Z-pid3450218-s2 | species_index=15/188 species="Avahi peyrierasi" occupied_cells=544 patches=4 elapsed_seconds=1.31
