removal_step,stage,event_type,pruning_iteration,cells_removed,area_removed_km2,cum_cells_removed,cum_area_removed_km2,cum_prop_cells_removed,cum_prop_area_removed,cells_retained,area_retained_km2
1,1,prune,1,1000,89.5668070766501,1000,89.5668070766501,0.000469548378978131,0.000468678131697559,2128706,191015.5883497
2,1,prune,2,1000,90.2416259518779,2000,179.808433028528,0.000939096757956263,0.000940887402440918,2127706,190925.346723748
3,1,prune,3,1297,116.866750830695,3297,296.675183859223,0.0015481010054909,0.00155241852903361,2126409,190808.479972917
4,1,prune,4,1000,89.4780834009542,4297,386.153267260177,0.00201764938446903,0.00202063239447093,2125409,190719.001889516
5,1,prune,5,1009,91.7440634717088,5306,477.897330731886,0.00249142369885796,0.002500703501901,2124400,190627.257826045
6,1,prune,6,1251,113.148929309412,6557,591.046260041298,0.00307882872095961,0.00309278030493956,2123149,190514.108896735
7,1,prune,7,1000,89.772583252587,7557,680.818843293885,0.00354837709993774,0.00356253520599883,2122149,190424.336313483
8,1,prune,8,1000,88.6315964743312,8557,769.450439768216,0.00401792547891587,0.0040263196413356,2121149,190335.704717008
9,1,prune,9,1005,88.5542626055986,9562,858.004702373814,0.00448982159978889,0.00448969941009668,2120144,190247.150454403
10,1,prune,10,1005,88.2036096367378,10567,946.208312010552,0.00496171772066191,0.00495124430962793,2119139,190158.946844766
11,1,prune,11,1000,88.7065786148604,11567,1034.91489062541,0.00543126609964005,0.00541542110560232,2118139,190070.240266151
12,1,prune,12,1003,90.9771728923414,12570,1125.89206351775,0.00590222312375511,0.00589147928842688,2117136,189979.263093259
13,1,prune,13,1007,90.4902982180517,13577,1216.38236173581,0.00637505834138609,0.00636498979181344,2116129,189888.772795041
14,1,prune,14,1003,90.1829419008365,14580,1306.56530363664,0.00684601536550115,0.00683689198527784,2115126,189798.58985314
15,1,prune,15,1009,91.5266472158265,15589,1398.09195085247,0.00731978967989009,0.0073158254140529,2114117,189707.063205924
16,1,prune,16,1006,92.4239056464867,16595,1490.51585649896,0.00779215534914209,0.00779945394605491,2113111,189614.639300278
17,1,prune,17,1006,91.1339676296957,17601,1581.64982412865,0.00826452101839409,0.00827633259202828,2112105,189523.505332648
18,1,prune,18,1001,90.1546513262385,18602,1671.80447545489,0.0087345389457512,0.00874808674880275,2111104,189433.350681322
19,1,prune,19,1005,91.22753361834,19607,1763.03200907323,0.00920643506662422,0.00922545499951006,2110099,189342.123147703
20,1,prune,20,1009,91.7518268746596,20616,1854.78383594789,0.00968020938101315,0.00970556673066347,2109090,189250.371320829
21,1,prune,21,1004,90.5862761574994,21620,1945.37011210539,0.0101516359535072,0.0101795794598501,2108086,189159.785044671
22,1,prune,22,1000,92.0287874040818,22620,2037.39889950947,0.0106211843324853,0.010661140448242,2107086,189067.756257267
23,1,prune,23,1000,91.6756958957417,23620,2129.07459540521,0.0110907327114635,0.0111408538072068,2106086,188976.080561371
24,1,prune,24,1000,91.3003602349367,24620,2220.37495564015,0.0115602810904416,0.0116186031392959,2105086,188884.780201136
25,1,prune,25,1000,90.9540283729283,25620,2311.32898401308,0.0120298294694197,0.0120945402133027,2104086,188793.826172763
26,1,prune,26,1000,90.7106752071989,26620,2402.03965922028,0.0124993778483979,0.012569203888036,2103086,188703.115497556
27,1,prune,27,1000,90.4772134175595,27620,2492.51687263784,0.012968926227376,0.0130426459223094,2102086,188612.638284139
28,1,prune,28,1000,90.2560587717841,28620,2582.77293140962,0.0134384746063541,0.0135149307159757,2101086,188522.382225367
29,1,prune,29,1000,89.9217753551225,29620,2672.69470676474,0.0139080229853322,0.0139854662977153,2100086,188432.460450012
30,1,prune,30,1000,89.4510866680808,30620,2762.14579343282,0.0143775713643104,0.0144535388967757,2099086,188343.009363344
31,1,prune,31,1000,88.8872753884914,31620,2851.03306882131,0.0148471197432885,0.0149186612285912,2098086,188254.122087955
32,1,prune,32,1000,88.0903953940148,32620,2939.12346421533,0.0153166681222666,0.0153796137095526,2097086,188166.031692561
33,1,prune,33,1000,88.0545009001954,33620,3027.17796511552,0.0157862165012448,0.0158403783646345,2096086,188077.977191661
34,1,prune,34,1000,89.3586663814504,34620,3116.53663149698,0.0162557648802229,0.0163079673541003,2095086,187988.61852528
35,1,prune,35,1000,90.2356658028101,35620,3206.77229729978,0.016725313259201,0.0167801454370451,2094086,187898.382859477
36,1,prune,36,1000,90.1267708623285,36620,3296.89906816211,0.0171948616381792,0.0172517537031246,2093086,187808.256088614
37,1,prune,37,1001,88.6117081459181,37621,3385.51077630803,0.0176648795655363,0.0177154340683833,2092085,187719.644380468
38,1,prune,38,1003,87.1578339489013,38624,3472.66861025693,0.0181358365896513,0.0181715067152849,2091082,187632.48654652
39,1,prune,39,1006,87.6597995594708,39630,3560.3284098164,0.0186082022589033,0.018630206008287,2090076,187544.82674696
40,1,prune,40,1001,87.8853731649496,40631,3648.21378298135,0.0190782201862605,0.0190900856650805,2089075,187456.941373795
41,1,prune,41,1001,91.7307031495703,41632,3739.94448613092,0.0195482381136176,0.0195700868616694,2088074,187365.210670646
42,1,prune,42,1004,91.1997276343916,42636,3831.14421376532,0.0200196646861116,0.0200473096114146,2087070,187274.010943011
43,1,prune,43,1000,88.3185177141357,43636,3919.46273147945,0.0204892130650897,0.0205094557928804,2086070,187185.692425297
44,1,prune,44,1001,90.5902077225541,44637,4010.05293920201,0.0209592309924468,0.0209834890948509,2085069,187095.102217574
45,1,prune,45,1004,91.1555146760479,45641,4101.20845387805,0.0214306575649409,0.0214604804905109,2084065,187003.946702898
46,1,prune,46,1005,90.9787610409222,46646,4192.18721491897,0.0219025536858139,0.0219365469836742,2083060,186912.967941857
47,1,prune,47,1006,90.6664077520287,47652,4282.853622671,0.0223749193550659,0.0224109790191557,2082054,186822.301534105
48,1,prune,48,1003,90.6082758789865,48655,4373.46189854999,0.022845876379181,0.0228851068667517,2081051,186731.693258227
49,1,prune,49,1002,88.8595903355416,49657,4462.32148888553,0.0233163638549171,0.0233500843304033,2080049,186642.833667891
50,1,prune,50,1003,90.1462459482221,50660,4552.46773483375,0.0237873208790321,0.0238217945041779,2079046,186552.687421943
51,2,prune,1,1001,90.2509233012208,51661,4642.71865813497,0.0242573388063892,0.0242940524253584,2078045,186462.436498642
