stage,patch_lookup_path,last_removal_step,alive_end,removed_end,area_retained_km2,area_removed_km2,cells_removed_stage,area_removed_stage_km2,events_in_stage,prop_cells_removed_end,prop_area_removed_end,pct_cells_removed_end,pct_area_removed_end
0,,0,2129706,0,191105.155156776,0,0,0,0,0,0,0,0
1,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0001.csv,50,2078978,50728,186545.74572365,4559.40943312674,50728,4559.40943312674,50,0.0238192501688026,0.0238581184761152,2.38192501688026,2.38581184761152
2,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0002.csv,100,2028933,100773,182037.296663444,9067.85849333255,50045,4508.44906020581,50,0.0473177987947632,0.0474495755276385,4.73177987947632,4.74495755276385
3,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0003.csv,152,1978788,150918,177531.164842908,13573.9903138689,50145,4506.1318205364,52,0.0708633022586216,0.0710289071099797,7.08633022586216,7.10289071099797
4,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0004.csv,202,1928125,201581,172981.894885683,18123.2602710933,50663,4549.2699572244,50,0.0946520317827907,0.094833968535415,9.46520317827907,9.4833968535415
5,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0005.csv,253,1877870,251836,168481.084847985,22624.0703087919,50255,4500.81003769856,51,0.118249185568337,0.11838545271179,11.8249185568337,11.838545271179
6,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0006.csv,304,1827796,301910,163937.952132942,27167.2030238349,50074,4543.13271504296,51,0.141761351097288,0.142158399659851,14.1761351097288,14.2158399659851
7,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0007.csv,356,1777773,351933,159414.519216145,31690.6359406316,50023,4523.43291679673,52,0.165249569658911,0.165828263055665,16.5249569658911,16.5828263055665
8,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0008.csv,408,1727728,401978,154904.12567569,36201.0294810862,50045,4510.39354045466,52,0.188748118284871,0.189429895030242,18.8748118284871,18.9429895030242
9,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0009.csv,460,1677647,452059,150390.244062841,40714.9110939359,50081,4513.88161284971,52,0.212263570652475,0.213049779115246,21.2263570652475,21.3049779115246
10,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0010.csv,511,1627547,502159,145921.632078367,45183.5230784097,50100,4468.61198447375,51,0.235787944439279,0.236432779855376,23.5787944439279,23.6432779855376
11,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0011.csv,562,1577474,552232,141448.102161437,49657.0529953398,50073,4473.52991693009,51,0.259299640419851,0.259841514765014,25.9299640419851,25.9841514765014
12,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0012.csv,612,1527452,602254,136926.466563783,54178.6885929939,50022,4521.63559765412,50,0.282787389433095,0.283501973290817,28.2787389433095,28.3501973290817
13,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0013.csv,664,1477335,652371,132390.584321277,58714.570835499,50117,4535.88224250513,52,0.306319745542343,0.307236980537398,30.6319745542343,30.7236980537398
14,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0014.csv,715,1427304,702402,127969.400920821,63135.7542359555,50031,4421.1834004565,51,0.329811720490997,0.330371800719667,32.9811720490997,33.0371800719667
15,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0015.csv,767,1377242,752464,123532.470301649,67572.6848551271,50062,4436.9306191716,52,0.353318251439401,0.353589021707409,35.3318251439401,35.3589021707409
16,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0016.csv,819,1327177,802529,119081.257704056,72023.8974527201,50065,4451.21259759298,52,0.376826191032941,0.376880976306652,37.6826191032941,37.6880976306652
17,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0017.csv,871,1277107,852599,114599.233346883,76505.9218098936,50070,4482.02435717348,52,0.400336478368376,0.400334160253974,40.0336478368376,40.0334160253974
18,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0018.csv,923,1227005,902701,110129.542798825,80975.612357952,50102,4469.69054805837,52,0.423861791251938,0.423722804816658,42.3861791251938,42.3722804816658
19,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0019.csv,974,1176987,952719,105738.081204958,85367.0739518184,50018,4391.4615938665,51,0.447347662071666,0.446702099070986,44.7347662071666,44.6702099070986
20,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0020.csv,1025,1126947,1002759,101241.897984998,89863.2571717784,50040,4496.18321995998,51,0.470843862955732,0.470229372400015,47.0843862955732,47.0229372400015
21,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0021.csv,1077,1076919,1052787,96742.7241836911,94362.4309730854,50028,4499.17380130693,52,0.49433442925925,0.493772294607508,49.433442925925,49.3772294607508
22,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0022.csv,1129,1026848,1102858,92330.6334163749,98774.5217404016,50071,4412.09076731621,52,0.517845186143064,0.516859535575428,51.7845186143064,51.6859535575428
23,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0023.csv,1179,976806,1152900,87928.8680837858,103176.287072991,50042,4401.7653325891,50,0.541342326123888,0.53989274642198,54.1342326123888,53.989274642198
24,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0024.csv,1231,926727,1202979,83367.2870842154,107737.868072561,50079,4561.58099957036,52,0.564856839394733,0.563762228099898,56.4856839394733,56.3762228099898
25,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0025.csv,1283,876706,1253000,78940.7360312694,112164.419125507,50021,4426.55105294605,52,0.588344118859599,0.586925135711232,58.8344118859599,58.6925135711232
26,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0026.csv,1335,826693,1303013,74520.8673194385,116584.287837338,50013,4419.86871183084,52,0.611827641937432,0.610053076494436,61.1827641937432,61.0053076494436
27,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0027.csv,1387,776626,1353080,70029.8763615593,121075.278795217,50067,4490.99095787925,52,0.63533652062773,0.633553180163512,63.533652062773,63.3553180163512
28,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0028.csv,1437,726524,1403182,65523.8406698403,125581.314486936,50102,4506.03569171904,50,0.658861833511292,0.657132008730551,65.8861833511292,65.7132008730551
29,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0029.csv,1488,676451,1453255,60987.1082498847,130118.046906892,50073,4536.73241995556,51,0.682373529491864,0.680871464718715,68.2373529491864,68.0871464718715
30,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0030.csv,1539,626412,1503294,56485.3679373699,134619.787219407,50039,4501.74031251478,51,0.705869260827551,0.704427816763859,70.5869260827551,70.4427816763859
31,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0031.csv,1590,576138,1553568,52019.5890874109,139085.566069366,50274,4465.77884995902,51,0.729475336032297,0.727795992500905,72.9475336032297,72.7795992500905
32,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0032.csv,1640,526137,1603569,47553.0047272527,143552.150429524,50001,4466.58436015824,50,0.752953224529583,0.751168383248261,75.2953224529583,75.1168383248261
33,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0033.csv,1690,476137,1653569,43056.3292142097,148048.825942567,50000,4496.67551304294,50,0.77643064347849,0.77469823260975,77.643064347849,77.469823260975
34,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0034.csv,1740,426137,1703569,38617.128078179,152488.027078597,50000,4439.20113603071,50,0.799908062427396,0.797927334579233,79.9908062427396,79.7927334579233
35,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0035.csv,1791,376058,1753648,34195.8977888427,156909.257367934,50079,4421.2302893363,51,0.823422575698242,0.821062400117938,82.3422575698242,82.1062400117938
36,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0036.csv,1843,326003,1803703,29691.1929287975,161413.962227979,50055,4504.70486004523,52,0.846925819807992,0.844634264813841,84.6925819807992,84.4634264813841
37,Data/Applications/madagascar/qe_500/Runs/remove_1000_stage_50/Curves/q50/Run/patch_lookup_tables/stage_patch_lookup_stage_0037.csv,1894,275960,1853746,25117.0430236587,165988.112133118,50043,4574.14990513881,51,0.870423429337195,0.868569516070598,87.0423429337195,86.8569516070598
