"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00000 2129706 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00010 2129494 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00020 2129282 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00030 2129070 0.0 1.0000 1.0000 0.9996 1.0000 1.0000 1.0000 0.9996
0.00040 2128858 0.0 1.0000 1.0000 0.9995 1.0000 1.0000 1.0000 0.9995
0.00050 2128646 0.0 1.0000 1.0000 0.9994 1.0000 1.0000 1.0000 0.9994
0.00060 2128434 0.0 1.0000 1.0000 0.9993 1.0000 1.0000 1.0000 0.9993
0.00070 2128222 0.0 1.0000 1.0000 0.9992 1.0000 1.0000 1.0000 0.9992
0.00080 2128010 0.0 1.0000 1.0000 0.9990 1.0000 1.0000 1.0000 0.9990
0.00090 2127798 0.0 1.0000 1.0000 0.9990 1.0000 1.0000 1.0000 0.9990
0.00100 2127586 0.0 1.0000 1.0000 0.9990 1.0000 1.0000 1.0000 0.9990
0.00109 2127374 0.0 1.0000 1.0000 0.9990 1.0000 1.0000 1.0000 0.9990
0.00119 2127162 0.0 1.0000 1.0000 0.9990 1.0000 1.0000 1.0000 0.9990
0.00129 2126950 0.0 1.0000 1.0000 0.9990 1.0000 1.0000 1.0000 0.9990
0.00139 2126738 0.0 1.0000 1.0000 0.9990 1.0000 1.0000 1.0000 0.9990
0.00149 2126526 0.0 1.0000 1.0000 0.9990 1.0000 1.0000 1.0000 0.9990
0.00159 2126314 0.0 1.0000 1.0000 0.9990 1.0000 1.0000 1.0000 0.9990
0.00169 2126102 0.0 1.0000 1.0000 0.9990 1.0000 1.0000 1.0000 0.9990
0.00179 2125890 0.0 1.0000 1.0000 0.9990 1.0000 1.0000 1.0000 0.9990
0.00189 2125678 0.0 1.0000 1.0000 0.9990 1.0000 1.0000 1.0000 0.9990
0.00199 2125466 0.0 1.0000 1.0000 0.9989 1.0000 1.0000 1.0000 0.9989
0.00209 2125254 0.0 1.0000 1.0000 0.9987 1.0000 1.0000 1.0000 0.9987
0.00219 2125042 0.0 1.0000 1.0000 0.9985 1.0000 1.0000 1.0000 0.9985
0.00229 2124830 0.0 1.0000 1.0000 0.9984 1.0000 1.0000 1.0000 0.9984
0.00239 2124618 0.0 1.0000 1.0000 0.9982 1.0000 1.0000 1.0000 0.9982
0.00249 2124406 0.0 1.0000 1.0000 0.9980 1.0000 1.0000 1.0000 0.9980
0.00259 2124194 0.0 1.0000 1.0000 0.9978 1.0000 1.0000 1.0000 0.9978
0.00269 2123982 0.0 1.0000 1.0000 0.9977 1.0000 1.0000 1.0000 0.9977
0.00279 2123770 0.0 1.0000 1.0000 0.9975 1.0000 1.0000 1.0000 0.9975
0.00289 2123558 0.0 1.0000 1.0000 0.9974 1.0000 1.0000 1.0000 0.9974
0.00299 2123346 0.0 1.0000 1.0000 0.9974 1.0000 1.0000 1.0000 0.9974
0.00309 2123134 0.0 1.0000 1.0000 0.9974 1.0000 1.0000 1.0000 0.9974
0.00319 2122922 0.0 1.0000 1.0000 0.9974 1.0000 1.0000 1.0000 0.9974
0.00328 2122710 0.0 1.0000 1.0000 0.9974 1.0000 1.0000 1.0000 0.9974
0.00338 2122498 0.0 1.0000 1.0000 0.9974 1.0000 1.0000 1.0000 0.9974
0.00348 2122286 0.0 1.0000 1.0000 0.9974 1.0000 1.0000 1.0000 0.9974
0.00358 2122074 0.0 1.0000 1.0000 0.9974 1.0000 1.0000 1.0000 0.9974
0.00368 2121862 0.0 1.0000 1.0000 0.9974 1.0000 1.0000 1.0000 0.9974
0.00378 2121650 0.0 1.0000 1.0000 0.9974 1.0000 1.0000 1.0000 0.9974
0.00388 2121438 0.0 1.0000 1.0000 0.9974 1.0000 1.0000 1.0000 0.9974
0.00398 2121226 0.0 1.0000 1.0000 0.9974 1.0000 1.0000 1.0000 0.9974
0.00408 2121014 0.0 1.0000 1.0000 0.9974 1.0000 1.0000 1.0000 0.9974
0.00418 2120802 0.0 1.0000 1.0000 0.9974 1.0000 1.0000 1.0000 0.9974
0.00428 2120590 0.0 1.0000 1.0000 0.9974 1.0000 1.0000 1.0000 0.9974
0.00438 2120378 0.0 1.0000 1.0000 0.9974 1.0000 1.0000 1.0000 0.9974
0.00448 2120166 0.0 1.0000 1.0000 0.9973 1.0000 1.0000 1.0000 0.9973
0.00458 2119954 0.0 1.0000 1.0000 0.9971 1.0000 1.0000 1.0000 0.9971
0.00468 2119742 0.0 1.0000 1.0000 0.9969 1.0000 1.0000 1.0000 0.9969
0.00478 2119530 0.0 1.0000 1.0000 0.9967 1.0000 1.0000 1.0000 0.9967
0.00488 2119318 0.0 1.0000 1.0000 0.9965 1.0000 1.0000 1.0000 0.9965
0.00498 2119106 0.0 1.0000 1.0000 0.9963 1.0000 1.0000 1.0000 0.9963
0.00508 2118894 0.0 1.0000 1.0000 0.9961 1.0000 1.0000 1.0000 0.9961
0.00518 2118682 0.0 1.0000 1.0000 0.9959 1.0000 1.0000 1.0000 0.9959
0.00528 2118470 0.0 1.0000 1.0000 0.9957 1.0000 1.0000 1.0000 0.9957
0.00538 2118258 0.0 1.0000 1.0000 0.9957 1.0000 1.0000 1.0000 0.9957
0.00547 2118046 0.0 0.9999 1.0000 0.9957 0.9999 0.9999 1.0000 0.9957
0.00557 2117834 0.0 0.9999 1.0000 0.9957 0.9999 0.9999 1.0000 0.9957
0.00567 2117622 0.0 0.9999 1.0000 0.9957 0.9999 0.9999 1.0000 0.9957
0.00577 2117410 0.0 0.9999 1.0000 0.9957 0.9999 0.9999 1.0000 0.9957
0.00587 2117198 0.0 0.9999 1.0000 0.9957 0.9999 0.9999 1.0000 0.9957
0.00597 2116986 0.0 0.9999 1.0000 0.9957 0.9999 0.9999 1.0000 0.9957
0.00607 2116774 0.0 0.9999 1.0000 0.9957 0.9999 0.9999 1.0000 0.9957
0.00617 2116562 0.0 0.9999 1.0000 0.9957 0.9999 0.9999 1.0000 0.9957
0.00627 2116350 0.0 0.9999 1.0000 0.9957 0.9999 0.9999 1.0000 0.9957
0.00637 2116138 0.0 0.9999 1.0000 0.9957 0.9999 0.9999 1.0000 0.9957
0.00647 2115926 0.0 0.9999 1.0000 0.9957 0.9999 0.9999 1.0000 0.9957
0.00657 2115714 0.0 0.9999 1.0000 0.9957 0.9999 0.9999 1.0000 0.9957
0.00667 2115502 0.0 0.9999 1.0000 0.9957 0.9999 0.9999 1.0000 0.9957
0.00677 2115290 0.0 0.9999 1.0000 0.9957 0.9999 0.9999 1.0000 0.9957
0.00687 2115078 0.0 0.9999 1.0000 0.9957 0.9999 0.9999 1.0000 0.9957
