"number" "dsum" "count" "missing" "quant_error" "fname"
0 836071. 836071 12323687 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Accipiter_henstii.tif"
1 1.11898e+06 1118981 12040777 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Accipiter_madagascariensis.tif"
2 1.3241e+06 1324096 11835662 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Acrocephalus_newtoni.tif"
3 739912. 739912 12419846 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Alectroenas_madagascariensis.tif"
4 801.0 801 13158957 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Allocebus_trichotis.tif"
5 1767.0 1767 13157991 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Anas_bernieri.tif"
6 1.07055e+06 1070554 12089204 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Apus_balstoni.tif"
7 1.18617e+06 1186166 11973592 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Artamella_viridis.tif"
8 738771. 738771 12420987 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Asio_madagascariensis.tif"
9 128759. 128759 13030999 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Atelornis_crossleyi.tif"
10 463883. 463883 12695875 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Atelornis_pittoides.tif"
11 841192. 841192 12318566 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Athene_superciliaris.tif"
12 425054. 425054 12734704 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Avahi_laniger.tif"
13 6911.0 6911 13152847 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Avahi_occidentalis.tif"
14 544.0 544 13159214 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Avahi_peyrierasi.tif"
15 1.04917e+06 1049166 12110592 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Aviceda_madagascariensis.tif"
16 1.1e+06 1100003 12059755 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Bernieria_madagascariensis.tif"
17 411337. 411337 12748421 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Brachypteracias_leptosomus.tif"
18 20047.0 20047 13139711 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Brachytarsomys_albicauda.tif"
19 158774. 158774 13000984 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Brachyuromys_betsileoensis.tif"
20 1014.0 1014 13158744 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Brachyuromys_ramirohitra.tif"
21 141744. 141744 13018014 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Bradypterus_brunneus.tif"
22 809.0 809 13158949 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Bradypterus_seebohmi.tif"
23 1.2989e+06 1298901 11860857 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Buteo_brachypterus.tif"
24 1.11813e+06 1118133 12041625 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Calicalicus_madagascariensis.tif"
25 9982.0 9982 13149776 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Ceblepyris_cinereus.tif"
26 63488.0 63488 13096270 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Cheirogaleus_crossleyi.tif"
27 809081. 809081 12350677 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Cheirogaleus_major.tif"
28 708287. 708287 12451471 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Cheirogaleus_medius.tif"
29 1.21143e+06 1211432 11948326 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Cinnyris_notatus.tif"
30 644378. 644378 12515380 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Copsychus_albospecularis.tif"
31 1.25052e+06 1250525 11909233 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Coracopsis_nigra.tif"
32 1.01096e+06 1010958 12148800 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Corythornis_madagascariensis.tif"
33 476130. 476130 12683628 0.0 "Data\Applications\madagascar\qe_500\Zonation\Patches_binary\Coua_caerulea.tif"
