scientificName,synonym_scientificName
Branta bernicla bernicla,Branta bernicla
Branta bernicla nigricans,Branta bernicla
Lagopus lagopus lagopus,Lagopus lagopus
Lagopus lagopus scoticus,Lagopus lagopus
Delichon urbica,Delichon urbicum
Luscinia megahrynchos,Luscinia megarhynchos
Parus bicolor,Baeolophus bicolor
Chen caerulescens atlanticus,Anser caerulescens
Chen caerulescens caerulescens,Anser caerulescens
Dendragapus canadensis,Falcipennis canadensis
Parus montanus,Poecile montanus
Mergus cucullatus,Lophodytes cucullatus
Riparia cowani,Riparia paludicola
Upupa marginata,Upupa epops
Ceblepyris cinereus,Coracina cinerea
Monticola imerina,Monticola imerinus
Eulemur rufifrons,Eulemur fulvus
Avahi peyrierasi,Avahi laniger
Hapalemur meridionalis,Hapalemur griseus
Microgale majori,Microgale longicaudata
